camera_type,scientificName,cameraheight,major_axis_mod,minor_axis,profile,profile_se,contact_species,sum_effortday_all,species_traprate,effort_cameraheight,effort_cameraheight_cameratype,contact_species_cameraheight,contact_species_camereaheight_cameratype,hmean_speed,hmean_speed_se,groupsize_speed,activity_level,al_se,groupsize_al,profile_km,profile_se_km,hspeed_kmd,hspeed_se_kmd,group_size,group_size_se
Browning,Rhinoceros unicornis,4.5,1.47988044198633,0.544533921666428,2.57756442273256,0.637823754511595,232,32144,0.007217521154803385,320,271,2,2,0.235005298529231,0.0311003223333369,228,0.32306239,0.008749996,2966,0.00257756442273256,6.378237545115951e-4,20.30445779292556,2.687067849600308,1.15,0.02
Browning,Panthera tigris,4.5,1.18930855985483,0.437615658532491,2.07146425113808,0.624380957468394,436,32144,0.013563962170233947,320,271,4,4,0.391365283423442,0.0818512704591667,188,0.6335,0.02745258,2926,0.00207146425113808,6.24380957468394e-4,33.813960487785394,7.0719497676720025,1.03,0.01
Browning,Panthera tigris,7.5,1.93256038120003,0.711101149373621,3.36601440362147,0.627529641490301,436,32144,0.013563962170233947,5595,3904,67,44,0.391365283423442,0.0818512704591667,188,0.6335,0.02745258,2926,0.0033660144036214697,6.27529641490301e-4,33.813960487785394,7.0719497676720025,1.03,0.01
Browning,Axis porcinus,7.5,1.85808788093813,0.683698393398625,3.23630279875061,0.583916619500352,246,32144,0.007653061224489796,5595,3904,85,78,0.0923236812995088,0.0108363138147693,193,0.5685436,0.01427842,2643,0.00323630279875061,5.83916619500352e-4,7.976766064277561,0.9362575135960677,1.11,0.03
Browning,Sus scrofa,8.1,2.09474874123221,0.77077966206376,3.64850407963824,0.636788846245801,630,32144,0.0195993031358885,1780,1125,50,49,0.173376753031161,0.0226236625590061,171,0.48009288,0.01292758,5447,0.00364850407963824,6.36788846245801e-4,14.979751461892313,1.9546844450981273,1.67,0.07
Browning,Rhinoceros unicornis,7.35,2.34705480943248,0.863617710921898,4.08795521810971,0.596810469240774,232,32144,0.007217521154803385,2187,1738,101,101,0.235005298529231,0.0311003223333369,228,0.32306239,0.008749996,2966,0.00408795521810971,5.96810469240774e-4,20.30445779292556,2.687067849600308,1.15,0.02
Browning,Panthera tigris,7.35,1.88621478878378,0.694047915562042,3.2852925109784,0.638758978952394,436,32144,0.013563962170233947,2187,1738,31,17,0.391365283423442,0.0818512704591667,188,0.6335,0.02745258,2926,0.0032852925109784,6.38758978952394e-4,33.813960487785394,7.0719497676720025,1.03,0.01
Browning,Hystrix indica,7.35,1.79455540999065,0.660321109277109,3.12564586177352,0.63192568498632,117,32144,0.003639870582379293,2187,1738,20,20,0.307255554546782,0.0643277239544729,104,0.24988632,0.01686318,624,0.00312564586177352,6.319256849863199e-4,26.546879912841966,5.55791534966646,1.25,0.04
Browning,Elephas maximus,7.35,2.75419661390224,1.01342881536807,4.79708968629675,0.611099704977232,233,32144,0.0072486311597809855,2187,1738,43,41,0.309954549479341,0.0392365459256358,135,0.330787652,0.004914778,6492,0.0047970896862967495,6.11099704977232e-4,26.78007307501506,3.3900375679749337,1.49,0.11
Browning,Axis porcinus,7.35,1.81352824676511,0.667302317299609,3.15869157795484,0.581550842053343,246,32144,0.007653061224489796,2187,1738,50,44,0.0923236812995088,0.0108363138147693,193,0.5685436,0.01427842,2643,0.00315869157795484,5.81550842053343e-4,7.976766064277561,0.9362575135960677,1.11,0.03
Browning,Rhinoceros unicornis,7.1,2.25399710688848,0.829376380156326,3.9258730548934,0.594214507625995,232,32144,0.007217521154803385,4077,1829,46,34,0.235005298529231,0.0311003223333369,228,0.32306239,0.008749996,2966,0.0039258730548934005,5.942145076259951e-4,20.30445779292556,2.687067849600308,1.15,0.02
Browning,Hystrix indica,7.1,1.72340359757003,0.634140227124854,3.00171802604771,0.628961138650706,117,32144,0.003639870582379293,4077,1829,13,7,0.307255554546782,0.0643277239544729,104,0.24988632,0.01686318,624,0.00300171802604771,6.28961138650706e-4,26.546879912841966,5.55791534966646,1.25,0.04
Browning,Panthera tigris,7.1,1.81142879995927,0.666529808946852,3.1550348910762,0.63438795597486,436,32144,0.013563962170233947,4077,1829,58,38,0.391365283423442,0.0818512704591667,188,0.6335,0.02745258,2926,0.0031550348910762,6.3438795597486e-4,33.813960487785394,7.0719497676720025,1.03,0.01
Browning,Sus scrofa,7.1,1.78177322739311,0.655617802293776,3.1033826449801,0.623688715895954,630,32144,0.0195993031358885,4077,1829,31,16,0.173376753031161,0.0226236625590061,171,0.48009288,0.01292758,5447,0.0031033826449800997,6.23688715895954e-4,14.979751461892313,1.9546844450981273,1.67,0.07
Browning,Elephas maximus,7.15,2.66648434454719,0.98115437977511,4.64431786871447,0.618119867543321,233,32144,0.0072486311597809855,843,843,2,2,0.309954549479341,0.0392365459256358,135,0.330787652,0.004914778,6492,0.00464431786871447,6.18119867543321e-4,26.78007307501506,3.3900375679749337,1.49,0.11
Browning,Axis porcinus,7.15,1.75577322765706,0.646050893090897,3.05809745003506,0.616620370395297,246,32144,0.007653061224489796,843,843,5,5,0.0923236812995088,0.0108363138147693,193,0.5685436,0.01427842,2643,0.00305809745003506,6.16620370395297e-4,7.976766064277561,0.9362575135960677,1.11,0.03
Browning,Macaca mulatta,7.15,1.72690560211126,0.635428817886937,3.00781760143071,0.632314254441971,1927,32144,0.05994897959183673,843,843,22,22,0.292909729355131,0.0373452794577637,175,0.381303675,0.004671368,18150,0.00300781760143071,6.32314254441971e-4,25.30740061628332,3.226632145150784,1.8,0.05
