camera_type,scientificName,cameraheight,major_axis_mod,minor_axis,profile,profile_se,contact_species,sum_effortday_all,species_traprate,effort_cameraheight,effort_cameraheight_cameratype,contact_species_cameraheight,contact_species_camereaheight_cameratype,hmean_speed,hmean_speed_se,groupsize_speed,activity_level,al_se,groupsize_al,profile_km,profile_se_km,hspeed_kmd,hspeed_se_kmd,group_size,group_size_se
Browning,Rhinoceros unicornis,4.5,1.47988044198633,0.544533921666428,2.13398023608972,0.536475134994,232,32144,0.007217521154803385,320,271,2,2,0.235005298529231,0.0311003223333369,228,0.32306239,0.008749996,2966,0.00213398023608972,5.36475134994e-4,20.30445779292556,2.687067849600308,1.15,0.02
Browning,Panthera tigris,4.5,1.18930855985483,0.437615658532491,1.71497702742528,0.523754971688635,436,32144,0.013563962170233947,320,271,4,4,0.391365283423442,0.0818512704591667,188,0.6335,0.02745258,2926,0.00171497702742528,5.23754971688635e-4,33.813960487785394,7.0719497676720025,1.03,0.01
Browning,Panthera tigris,7.5,1.93256038120003,0.711101149373621,2.78674245670515,0.527235398620868,436,32144,0.013563962170233947,5595,3904,67,44,0.391365283423442,0.0818512704591667,188,0.6335,0.02745258,2926,0.00278674245670515,5.27235398620868e-4,33.813960487785394,7.0719497676720025,1.03,0.01
Browning,Axis porcinus,7.5,1.85808788093813,0.683698393398625,2.67935348177027,0.490104774651417,246,32144,0.007653061224489796,5595,3904,85,78,0.0923236812995088,0.0108363138147693,193,0.5685436,0.01427842,2643,0.00267935348177027,4.90104774651417e-4,7.976766064277561,0.9362575135960677,1.11,0.03
Browning,Sus scrofa,8.1,2.09474874123221,0.77077966206376,3.02061726511057,0.534015124131012,630,32144,0.0195993031358885,1780,1125,50,49,0.173376753031161,0.0226236625590061,171,0.48009288,0.01292758,5447,0.00302061726511057,5.34015124131012e-4,14.979751461892313,1.9546844450981273,1.67,0.07
Browning,Rhinoceros unicornis,7.35,2.34705480943248,0.863617710921898,3.38444136042884,0.501891866426418,232,32144,0.007217521154803385,2187,1738,101,101,0.235005298529231,0.0311003223333369,228,0.32306239,0.008749996,2966,0.0033844413604288397,5.01891866426418e-4,20.30445779292556,2.687067849600308,1.15,0.02
Browning,Panthera tigris,7.35,1.88621478878378,0.694047915562042,2.7199123429742,0.53694640508195,436,32144,0.013563962170233947,2187,1738,31,17,0.391365283423442,0.0818512704591667,188,0.6335,0.02745258,2926,0.0027199123429742,5.3694640508195e-4,33.813960487785394,7.0719497676720025,1.03,0.01
Browning,Hystrix indica,7.35,1.79455540999065,0.660321109277109,2.58773997468865,0.531559177764763,117,32144,0.003639870582379293,2187,1738,20,20,0.307255554546782,0.0643277239544729,104,0.24988632,0.01686318,624,0.0025877399746886496,5.31559177764763e-4,26.546879912841966,5.55791534966646,1.25,0.04
Browning,Elephas maximus,7.35,2.75419661390224,1.01342881536807,3.97153781726031,0.514248665580914,233,32144,0.0072486311597809855,2187,1738,43,41,0.309954549479341,0.0392365459256358,135,0.330787652,0.004914778,6492,0.0039715378172603105,5.14248665580914e-4,26.78007307501506,3.3900375679749337,1.49,0.11
Browning,Axis porcinus,7.35,1.81352824676511,0.667302317299609,2.61509871094231,0.490507582664663,246,32144,0.007653061224489796,2187,1738,50,44,0.0923236812995088,0.0108363138147693,193,0.5685436,0.01427842,2643,0.00261509871094231,4.90507582664663e-4,7.976766064277561,0.9362575135960677,1.11,0.03
Browning,Rhinoceros unicornis,7.1,2.25399710688848,0.829376380156326,3.2502526162501,0.500724662950944,232,32144,0.007217521154803385,4077,1829,46,34,0.235005298529231,0.0311003223333369,228,0.32306239,0.008749996,2966,0.0032502526162501,5.00724662950944e-4,20.30445779292556,2.687067849600308,1.15,0.02
Browning,Hystrix indica,7.1,1.72340359757003,0.634140227124854,2.48513941510306,0.528932528622799,117,32144,0.003639870582379293,4077,1829,13,7,0.307255554546782,0.0643277239544729,104,0.24988632,0.01686318,624,0.00248513941510306,5.28932528622799e-4,26.546879912841966,5.55791534966646,1.25,0.04
Browning,Panthera tigris,7.1,1.81142879995927,0.666529808946852,2.6120713190914,0.532492288944087,436,32144,0.013563962170233947,4077,1829,58,38,0.391365283423442,0.0818512704591667,188,0.6335,0.02745258,2926,0.0026120713190913997,5.324922889440869e-4,33.813960487785394,7.0719497676720025,1.03,0.01
Browning,Sus scrofa,7.1,1.78177322739311,0.655617802293776,2.56930813096442,0.523801924735819,630,32144,0.0195993031358885,4077,1829,31,16,0.173376753031161,0.0226236625590061,171,0.48009288,0.01292758,5447,0.00256930813096442,5.23801924735819e-4,14.979751461892313,1.9546844450981273,1.67,0.07
