"","model","scientificName","height","major_axis_mod","minor_axis","profile","profile_se"
"209","Browning","Sus scrofa",7.8,1.99548324403426,0.734254123282521,3.47560956280898,0.651869394944939
"211","Browning","Semnopithecus schistaceus",7.8,1.93536904855271,0.71213462113581,3.37090636707888,0.602087391338904
"215","Browning","Axis axis",7.35,1.83525042403952,0.675295167291254,3.19652592574286,0.603970002730688
"216","Browning","Semnopithecus schistaceus",7.35,1.79944265989247,0.662119412220845,3.1341581720349,0.624367242563219
"220","Browning","Muntiacus muntjak",7.35,1.79807764643395,0.661617144530427,3.13178067583494,0.632255737456561
"226","Browning","Sus scrofa",7.35,1.85533486706376,0.682685399781791,3.23150776908705,0.621246987675803
"229","Browning","Macaca mulatta",7.35,1.78371103944034,0.65633083583594,3.1067578064115,0.630215609128618
"255","Browning","Macaca mulatta",7,1.6854919086736,0.620190316006316,2.93568578605541,0.633631915783694
"256","Browning","Semnopithecus schistaceus",7,1.70035727553857,0.625660147410486,2.96157736464172,0.612505854408061
"257","Browning","Sus scrofa",7,1.75317180707541,0.645093679446445,3.05356645621314,0.623920244507509
"259","Browning","Rusa unicolor",7,1.79012844280361,0.658692171063553,3.11793524353831,0.624228581964448
"260","Browning","Muntiacus muntjak",7,1.69906742584393,0.625185536832052,2.95933078404692,0.661833516306206
"261","Browning","Axis axis",7.4,1.85016009014808,0.680781298958711,3.22249466201771,0.654792854582805
"265","Browning","Semnopithecus schistaceus",7.2,1.75628942292089,0.646240831293598,3.05899652708851,0.607783854525631
"268","Browning","Macaca mulatta",7.2,1.74093506947507,0.640591073340662,3.0322532618536,0.618025495244332
"269","Browning","Axis axis",7.2,1.79123846510581,0.659100612705326,3.11986861187903,0.589830462156796
"277","Browning","Muntiacus muntjak",8.1,2.03010300370529,0.746992742542542,3.53590812363855,0.600639019522758
"280","Browning","Macaca mulatta",8.1,2.01388251841722,0.74102428440589,3.5076562834143,0.631035293630246
"281","Browning","Axis axis",8.1,2.07207258584364,0.762435788145482,3.60900815164591,0.588657618888758
"283","Browning","Macaca mulatta",7.25,1.75507851293246,0.645795267215529,3.05688743880222,0.63796115472565
"284","Browning","Muntiacus muntjak",7.25,1.76921450395383,0.650996718906568,3.0815086355577,0.623129478432802
"285","Browning","Sus scrofa",7.25,1.82555261893749,0.671726781836631,3.17963488731814,0.670612845357195
"287","Browning","Axis porcinus",7.7,1.91920847406348,0.706188207659875,3.34275887578666,0.638761584833409
"289","Browning","Macaca mulatta",7.7,1.88765372046497,0.694577382057537,3.28779875337674,0.607622350298856
"291","Browning","Sus scrofa",7.7,1.96345130297572,0.722467712712904,3.41981830473089,0.59813919197943
"297","Browning","Rusa unicolor",7.7,2.00484060337473,0.73769723897859,3.4919076338169,0.615331396201309
"299","Browning","Axis porcinus",7,1.71366724681633,0.630557658487404,2.98475985118575,0.614573787186554
"300","Browning","Elephas maximus",7,2.60253819423856,0.957624879002543,4.53294041055644,0.597263094166035
