"","model","scientificName","height","major_axis_mod","minor_axis","profile","profile_se"
"1","Browning","Rhinoceros unicornis",4.5,1.47988044198633,0.544533921666428,2.13398023608972,0.536475134994
"3","Browning","Panthera tigris",4.5,1.18930855985483,0.437615658532491,1.71497702742528,0.523754971688635
"4","Browning","Panthera tigris",7.5,1.93256038120003,0.711101149373621,2.78674245670515,0.527235398620868
"5","Browning","Axis porcinus",7.5,1.85808788093813,0.683698393398625,2.67935348177027,0.490104774651417
"10","Browning","Sus scrofa",8.1,2.09474874123221,0.77077966206376,3.02061726511057,0.534015124131012
"12","Browning","Rhinoceros unicornis",7.35,2.34705480943248,0.863617710921898,3.38444136042884,0.501891866426418
"16","Browning","Panthera tigris",7.35,1.88621478878378,0.694047915562042,2.7199123429742,0.53694640508195
"17","Browning","Hystrix indica",7.35,1.79455540999065,0.660321109277109,2.58773997468865,0.531559177764763
"19","Browning","Elephas maximus",7.35,2.75419661390224,1.01342881536807,3.97153781726031,0.514248665580914
"44","Browning","Axis porcinus",7.35,1.81352824676511,0.667302317299609,2.61509871094231,0.490507582664663
"52","Browning","Rhinoceros unicornis",7.1,2.25399710688848,0.829376380156326,3.2502526162501,0.500724662950944
"54","Browning","Hystrix indica",7.1,1.72340359757003,0.634140227124854,2.48513941510306,0.528932528622799
"55","Browning","Panthera tigris",7.1,1.81142879995927,0.666529808946852,2.6120713190914,0.532492288944087
"58","Browning","Sus scrofa",7.1,1.78177322739311,0.655617802293776,2.56930813096442,0.523801924735819
"61","Browning","Elephas maximus",7.15,2.66648434454719,0.98115437977511,3.84505716115066,0.519000395927454
"62","Browning","Axis porcinus",7.15,1.75577322765706,0.646050893090897,2.53181626067481,0.518386355978126
"63","Browning","Macaca mulatta",7.15,1.72690560211126,0.635428817886937,2.49018928823177,0.531669432562768
"64","Browning","Rusa unicolor",7.15,1.83411312772723,0.674876689957912,2.64478200689591,0.498390629570444
"65","Browning","Muntiacus muntjak",7.15,1.74081467905928,0.640546774718029,2.51024610800397,0.514345685326205
"66","Browning","Axis axis",7.15,1.77680362372222,0.653789196617761,2.56214198719091,0.516132467840312
"67","Browning","Semnopithecus schistaceus",7.15,1.74213622124652,0.641033046804238,2.51215176526432,0.537643263006951
"68","Browning","Panthera tigris",7.15,1.826144938004,0.671944730405323,2.63329191695056,0.514096429573464
"69","Browning","Hystrix indica",7.15,1.73740461447404,0.639292014002868,2.50532881183447,0.505808428266697
"72","Browning","Sus scrofa",7.15,1.79624844208514,0.660944074065185,2.59018131854738,0.545040387063977
"74","Browning","Axis axis",7.6,1.91101990374829,0.70317515729441,2.75568119536687,0.5318387375752
"75","Browning","Elephas maximus",7.6,2.86790537087488,1.05526886785165,4.1355052792022,0.515584024139115
"76","Browning","Rhinoceros unicornis",7.6,2.44395445834647,0.899272716781974,3.5241701721624,0.50048050229699
"78","Browning","Hystrix indica",7.6,1.86864477019048,0.687582885781986,2.69457646355984,0.493797725337387
"83","Browning","Semnopithecus schistaceus",7.6,1.87373379330941,0.689455432805234,2.70191480958341,0.559375715100668
"91","Browning","Macaca mulatta",7.6,1.85735268291247,0.68342787136674,2.6782933298743,0.538774633465545
"93","Browning","Sus scrofa",7.6,1.93193354576263,0.710870500228404,2.78583856312244,0.546239430164388
"106","Browning","Panthera tigris",7.6,1.96408836466918,0.722702124691359,2.83220565204045,0.507815699039605
"107","Browning","Rhinoceros unicornis",7.5,2.40472355756413,0.884837391030361,3.4675994083775,0.516051197540698
"113","Browning","Sus scrofa",7.5,1.90092171860152,0.699459448779263,2.74111966261584,0.521622366474764
"115","Browning","Muntiacus muntjak",7.5,1.84225764874861,0.677873532031123,2.65652636569608,0.495784275730698
"118","Browning","Muntiacus muntjak",7.3,1.78358769094937,0.656285448765733,2.571924578387,0.481087387168781
"119","Browning","Axis porcinus",7.3,1.79891378135658,0.661924807106094,2.59402472451882,0.530615455631673
"121","Browning","Rusa unicolor",7.3,1.87917854655885,0.69145887359363,2.70976611668569,0.525836619105816
"122","Browning","Sus scrofa",7.3,1.84038349959303,0.677183923762427,2.65382385193617,0.486974962794233
"134","Browning","Axis axis",8.4,2.17514802688226,0.800363226432944,3.136552635094,0.516720548885983
"137","Browning","Macaca mulatta",8.4,2.11406328920876,0.777886605473841,3.04846874721789,0.537279184782396
"138","Browning","Hystrix indica",8.4,2.12691609169081,0.782615897612172,3.06700242446431,0.528962158319356
"147","Browning","Panthera tigris",8.4,2.23555124813355,0.822589077938288,3.2236537796793,0.520832000771465
"151","Browning","Rhinoceros unicornis",8.4,2.78174115687421,1.02356405168818,4.01125691121321,0.528249884922124
"154","Browning","Axis axis",7.5,1.88034378702239,0.691887633202375,2.71144638763795,0.50563661737496
"157","Browning","Canis aureus",7.16,1.73802019610268,0.639518522218561,2.50621647748093,0.535001085512118
"160","Browning","Axis porcinus",7.16,1.75861679996023,0.647097208410607,2.53591667779143,0.539268241207843
"161","Browning","Muntiacus muntjak",7.16,1.74363402516182,0.641584175812194,2.51431159105977,0.53324655183653
"162","Browning","Sus scrofa",7.16,1.79915756624712,0.662014509719035,2.59437626111833,0.53469403306101
"163","Browning","Axis axis",7.16,1.77968125592039,0.654848044550019,2.56629151850669,0.502921979020209
"171","Browning","Macaca mulatta",7.1,1.71298919235538,0.630308162890161,2.47012189458711,0.508615678621144
"175","Browning","Axis porcinus",7.1,1.74162418578435,0.640844639234048,2.51141341267485,0.50522383738455
"182","Browning","Axis axis",7.1,1.76248510668618,0.64852058301029,2.54149475684843,0.521322869212818
