model	scientificName	height	x_meters	y_meters
Browning	Elephas maximus	7.6	3.23626124	-0.591468283
Browning	Hystrix indica	7.6	0.388363314	-0.531981866
Browning	Elephas maximus	7.6	3.865742334	1.66362818
Browning	Elephas maximus	7.6	3.149222429	-0.987099241
Browning	Elephas maximus	7.6	3.409634889	0.941414988
Browning	Elephas maximus	7.6	3.686230787	0.271094691
Browning	Semnopithecus schistaceus	7.6	-3.439414718	-1.659125884
Browning	Axis axis	7.6	2.612529664	0.280606447
Browning	Axis axis	7.6	0.203850545	0.127680086
Browning	Axis axis	7.6	-3.281239382	-0.533484492
Browning	Semnopithecus schistaceus	7.6	-1.417332603	-2.087098917
Browning	Elephas maximus	7.6	3.582922937	0.596822806
Browning	Semnopithecus schistaceus	7.6	0.252226745	1.819383656
Browning	Semnopithecus schistaceus	7.6	-1.441394836	-2.015111094
Browning	Macaca mulatta	7.6	-2.576360124	0.38960026
Browning	Elephas maximus	7.6	0.506407627	-0.678507094
Browning	Sus scrofa	7.6	-3.749755269	-0.706001541
Browning	Sus scrofa	7.6	2.557778475	-0.425728363
Browning	Elephas maximus	7.6	-3.20337852	-0.859576796
Browning	Semnopithecus schistaceus	7.6	2.875463279	1.286026961
Browning	Sus scrofa	7.6	-2.003763971	-0.2431452
Browning	Sus scrofa	7.6	-0.270277239	0.292818804
Browning	Sus scrofa	7.6	-0.500496996	0.517378839
Browning	Axis axis	7.6	-2.137217929	-1.111365645
Browning	Rhinoceros unicornis	7.6	-2.589873342	-1.023834132
Browning	Semnopithecus schistaceus	7.6	-3.055179885	-0.52660511
Browning	Semnopithecus schistaceus	7.6	-0.729010873	-1.153778917
Browning	Axis axis	7.6	-0.729010873	-1.153778917
Browning	Rhinoceros unicornis	7.6	0.738828898	-0.658391881
Browning	Panthera tigris	7.6	-0.31777587	0.167825381
Browning	Rhinoceros unicornis	7.5	-0.047039191	-0.430212604
Browning	Axis porcinus	7.5	0.068905535	-1.67937998
Browning	Panthera tigris	7.5	0.736947331	0.05585904
Browning	Panthera tigris	7.5	1.356915901	0.157252822
Browning	Panthera tigris	7.5	-0.203836496	-1.292597778
Browning	Axis porcinus	7.5	0.533377982	0.129058125
Browning	Sus scrofa	7.5	-0.5409507	0.269463835
Browning	Axis porcinus	7.5	-2.240210524	-0.214012657
Browning	Muntiacus muntjak	7.5	-0.472148239	-0.154853763
Browning	Rhinoceros unicornis	7.5	-0.266555417	1.004482731
Browning	Sus scrofa	7.5	-1.332777087	0.228336075
Browning	Muntiacus muntjak	7.3	1.853775724	0.050061048
Browning	Axis porcinus	7.3	-3.59066199	-0.686064884
Browning	Muntiacus muntjak	7.3	-3.02179765	0.901388504
Browning	Rusa unicolor	7.3	-0.915696258	1.275297809
Browning	Sus scrofa	7.3	2.083208986	-0.647664332
Browning	Muntiacus muntjak	7.3	1.846654119	-0.479786685
Browning	Muntiacus muntjak	7.3	1.837152166	-0.348191897
Browning	Muntiacus muntjak	7.3	-3.02890119	1.104264173
Browning	Muntiacus muntjak	7.3	-0.524871978	0.218208752
Browning	Rusa unicolor	7.3	-2.533426313	0.832711284
Browning	Muntiacus muntjak	7.3	-2.445090803	0.524438335
Browning	Muntiacus muntjak	7.3	-0.065873825	0.447801674
Browning	Rusa unicolor	7.3	3.298446086	0.524154937
Browning	Muntiacus muntjak	7.3	1.741740369	0.139788145
Browning	Muntiacus muntjak	7.3	-0.656248985	0.878496097
Browning	Axis porcinus	7.5	-1.376212794	0.205173181
Browning	Axis axis	8.4	-2.495568338	-0.082136795
Browning	Axis axis	8.4	-3.728422216	-2.359091627
Browning	Axis axis	8.4	-2.711719381	-0.578428776
Browning	Macaca mulatta	8.4	2.770297552	0.066736162
Browning	Hystrix indica	8.4	1.342972279	-1.195566247
Browning	Macaca mulatta	8.4	-4.289876123	0.49963783
Browning	Axis axis	8.4	2.464523666	-0.196762749
Browning	Axis axis	8.4	3.335448835	-0.14782731
Browning	Axis axis	8.4	2.576598152	0.988671183
Browning	Axis axis	8.4	3.042947942	0.24491395
Browning	Axis axis	8.4	-1.406568405	0.200378983
Browning	Axis axis	8.4	0.325142134	-0.380884663
Browning	Axis axis	8.4	1.404388961	-1.144951898
Browning	Panthera tigris	8.4	3.248840147	0.290859
Browning	Axis axis	8.4	0.37757003	-0.119423445
Browning	Axis axis	8.4	0.69154527	-0.140811042
Browning	Axis axis	8.4	-0.566530902	0.709699493
Browning	Rhinoceros unicornis	8.4	-3.633464003	-1.428486962
Browning	Axis axis	8.4	1.46429027	1.142492145
Browning	Axis axis	8.4	1.279282418	-0.962064887
Browning	Axis axis	7.5	-2.841191428	-0.191713752
Browning	Sus scrofa	7.5	-2.790992018	-0.66540856
Browning	Sus scrofa	7.5	-3.483459193	0.504681361
Browning	Canis aureus	7.16	2.697075411	0.684643883
Browning	Canis aureus	7.16	1.090336561	-0.821130492
Browning	Canis aureus	7.16	-2.675337483	0.805225935
Browning	Axis porcinus	7.16	2.542040652	0.492045296
Browning	Muntiacus muntjak	7.16	2.597106925	-0.178691435
Browning	Sus scrofa	7.16	2.447018305	-0.43945796
Browning	Axis axis	7.16	2.609898768	-0.516562167
Browning	Sus scrofa	7.16	-0.987948455	-0.807385906
Browning	Sus scrofa	7.16	-2.086298044	-0.273490399
Browning	Sus scrofa	7.16	2.118101613	-0.410709633
Browning	Sus scrofa	7.16	3.390459472	1.243355585
Browning	Sus scrofa	7.16	-2.110617155	-0.253536015
Browning	Sus scrofa	7.16	2.75591554	-0.312473171
Browning	Sus scrofa	7.16	2.402511017	-0.49303867
Browning	Macaca mulatta	7.1	1.976993827	-1.184692352
Browning	Rhinoceros unicornis	7.1	1.499191293	-1.891615747
Browning	Rhinoceros unicornis	7.1	1.833169551	-1.104911405
Browning	Panthera tigris	7.1	1.810904334	-0.214302716
Browning	Axis porcinus	7.1	1.886948468	-0.145993029
Browning	Panthera tigris	7.1	2.154472296	0.144123916
Browning	Rhinoceros unicornis	7.1	-1.083573905	-0.288520107
Browning	Panthera tigris	7.1	2.130039114	-0.206880977
Browning	Rhinoceros unicornis	7.1	0.512099996	0.646619017
Browning	Panthera tigris	7.1	1.078859016	0.019308078
Browning	Rhinoceros unicornis	7.1	1.744108682	-1.208815752
Browning	Axis axis	7.1	0.716216359	1.334654652
Browning	Macaca mulatta	7.1	0.716216359	1.334654652
Browning	Rhinoceros unicornis	7.1	1.180056513	-1.268189664
Browning	Rhinoceros unicornis	7.1	2.115195636	0.950910319
Browning	Axis axis	7.1	-1.058566614	0.05964519
Browning	Axis axis	7.1	0.333173482	-0.021549818
Browning	Macaca mulatta	7.1	0.297838114	-1.699144087
Browning	Panthera tigris	7.1	1.773795639	0.045458152
Browning	Panthera tigris	7.5	2.469557544	-0.179336917
Browning	Muntiacus muntjak	7.5	-2.557844777	0.562186815
Browning	Rusa unicolor	7.5	0.956463557	-0.163657186
Browning	Muntiacus muntjak	7.5	2.399084632	-0.42862392
Browning	Axis axis	7.08	-1.201364821	-0.361848116
Browning	Semnopithecus schistaceus	7.08	-1.201364821	-0.361848116
Browning	Axis porcinus	7.08	-1.300633005	-0.446000448
Browning	Axis axis	7.08	1.655947564	-0.227286861
Browning	Sus scrofa	7.08	-1.546774048	-1.072195647
Browning	Sus scrofa	7.08	-1.095323249	0.215549254
Browning	Elephas maximus	7.5	0.101510575	-1.153706726
Browning	Rhinoceros unicornis	7.5	-2.516596735	-1.794349152
Browning	Rhinoceros unicornis	7.5	1.991325766	-0.539904248
Browning	Elephas maximus	7.5	-3.237861659	-0.76733871
Browning	Sus scrofa	7.5	1.254378435	-0.147977456
Browning	Elephas maximus	7.5	-1.920892417	0.735882259
