"id","observation","asset","label","x","y"
"2d2025d6-fa3b-4fe6-ab16-2b54b06422db","735514f0-f4ef-4cbe-81ad-dfcb0c714cfa","ba97c9b2-a753-41c6-8423-f6e60ef7efd3","front-leg","187.50328452710724","188.92916501780766"
"209839fd-1970-4c8e-bf8c-6b343397be0e","735514f0-f4ef-4cbe-81ad-dfcb0c714cfa","54c71246-0634-4f93-95b7-a9e7dd17bbff","front-leg","219.58559556786702","173.24447962010288"
"fe4cde38-3369-4643-9f0a-4439c1a1cd60","735514f0-f4ef-4cbe-81ad-dfcb0c714cfa","66316c49-b5c5-4cab-8a15-10e527d487b3","front-leg","225.28911753066876","181.08682231895529"
"d6ede72e-bf16-4511-a347-40eda3263bfb","735514f0-f4ef-4cbe-81ad-dfcb0c714cfa","73149275-0ef2-4a1e-870f-43944d0c17c1","front-leg","159.69861495844873","153.995092995647"
"9f6b977d-3f0c-4d4a-a26f-6218a46924e0","8a28e5fb-87ba-4479-aca8-71300eeaab27","29b5679f-46b4-4d75-95f0-c560cc1a61c0","front-leg","277.33375544123464","244.53850415512463"
"8911dc20-229b-46af-a213-2879fc966a7e","8a28e5fb-87ba-4479-aca8-71300eeaab27","e6fbd14f-cf13-43bf-80fb-0e38546b10a8","front-leg","196.77150771666007","206.7526711515631"
"1d7db3eb-412a-4359-9050-f0476c2b87d0","8a28e5fb-87ba-4479-aca8-71300eeaab27","352c67ee-a3b8-43b0-9255-84d1311b30e5","front-leg","150.4303917688959","188.92916501780766"
"77ccb9a9-5b23-4ff7-84b7-f2dc9a2a4cab","8a28e5fb-87ba-4479-aca8-71300eeaab27","2c4defd3-e14e-4617-a44f-550989b17d76","front-leg","137.597467352592","188.21622477245745"
"50580276-88c3-4d36-8451-cc87b465a8d1","8a28e5fb-87ba-4479-aca8-71300eeaab27","8098b8e6-38c7-4921-9319-b56e1142aff8","front-leg","255.94554808072812","234.5573407202216"
"698293a1-2ee2-4448-b81c-b1c202b9176f","e0e252c5-c73e-4d4a-b844-e3d7f873f38c","29b5679f-46b4-4d75-95f0-c560cc1a61c0","front-leg","384.9877324891175","143.30098931539374"
"ab43ae00-9b03-4476-a359-345f18fa3b4b","e0e252c5-c73e-4d4a-b844-e3d7f873f38c","8098b8e6-38c7-4921-9319-b56e1142aff8","front-leg","379.28421052631575","144.7268698060942"
"d444dcf8-5364-4520-a722-85fb2557600b","e0e252c5-c73e-4d4a-b844-e3d7f873f38c","2c4defd3-e14e-4617-a44f-550989b17d76","front-leg","228.85381875741984","111.21867827463394"
"9cd6dd0c-998c-4382-b1b0-f69d4e76135e","e0e252c5-c73e-4d4a-b844-e3d7f873f38c","352c67ee-a3b8-43b0-9255-84d1311b30e5","front-leg","312.98076770874553","157.5597942223981"
"fe40b41d-0734-402a-a5f1-0c2b90795d85","e0e252c5-c73e-4d4a-b844-e3d7f873f38c","e6fbd14f-cf13-43bf-80fb-0e38546b10a8","front-leg","368.5901068460625","148.29157103284527"
"7bac87dc-b05d-4c97-9652-645605d3301f","0735897a-ddee-42d5-941e-4116492ffe90","47804011-0cb5-4af7-afb9-c0728fb61d85","front-leg","582.5128607200857","215.5756256208191"
"9282692c-2b9c-4f66-bfca-5077d58e8a0a","0735897a-ddee-42d5-941e-4116492ffe90","aed24489-f0b7-4c18-9788-5d5ca5b34c52","front-leg","601.7770655627971","240.3438889900196"
"42db34e6-dd68-47df-832c-dc050e7d7997","0735897a-ddee-42d5-941e-4116492ffe90","e783fad6-b50c-4fe1-91a5-f7e5ca40ba46","front-leg","653.1482784766945","275.2029263244499"
"2534d073-ae01-4b3f-b2f6-a7a8753eafdc","0735897a-ddee-42d5-941e-4116492ffe90","9038b059-201b-4f9a-8d38-65c38df46725","front-leg","617.371898054516","253.18669221849393"
"ad751e61-438b-43d1-a31d-073f808da428","0735897a-ddee-42d5-941e-4116492ffe90","95cb68f9-dddb-4aeb-97ee-eb66ec68b8b9","front-leg","630.2147012829903","264.1948092714719"
